"","unitid","year","fips","student_faculty_ratio"
"1",100654,2018,1,20
"2",100663,2018,1,19
"3",100690,2018,1,12
"4",100706,2018,1,17
"5",100724,2018,1,15
"6",100751,2018,1,22
"7",100760,2018,1,18
"8",100812,2018,1,15
"9",100830,2018,1,17
"10",100858,2018,1,19
"11",100937,2018,1,12
"12",101028,2018,1,17
"13",101116,2018,1,10
"14",101143,2018,1,18
"15",101161,2018,1,22
"16",101189,2018,1,12
"17",101240,2018,1,17
"18",101277,2018,1,20
"19",101286,2018,1,17
"20",101295,2018,1,16
"21",101301,2018,1,13
"22",101365,2018,1,14
"23",101435,2018,1,14
"24",101453,2018,1,8
"25",101462,2018,1,15
"26",101471,2018,1,11
"27",101480,2018,1,18
"28",101505,2018,1,20
"29",101514,2018,1,23
"30",101541,2018,1,5
"31",101569,2018,1,16
"32",101587,2018,1,14
"33",101602,2018,1,17
"34",101648,2018,1,14
"35",101675,2018,1,16
"36",101693,2018,1,13
"37",101709,2018,1,13
"38",101736,2018,1,19
"39",101879,2018,1,19
"40",101897,2018,1,18
"41",101912,2018,1,11
"42",101994,2018,1,12
"43",102030,2018,1,19
"44",102049,2018,1,12
"45",102058,2018,1,13
"46",102067,2018,1,19
"47",102076,2018,1,21
"48",102094,2018,1,18
"49",102234,2018,1,13
"50",102270,2018,1,15
"51",102298,2018,1,22
"52",102313,2018,1,14
"53",102368,2018,1,16
"54",102377,2018,1,14
"55",102395,2018,1,8
"56",102429,2018,1,16
"57",102553,2018,2,14
"58",102580,2018,2,6
"59",102614,2018,2,11
"60",102632,2018,2,10
"61",102669,2018,2,7
"62",102711,2018,2,15
"63",102845,2018,53,25
"64",103501,2018,2,15
"65",103741,2018,4,18
"66",103893,2018,4,39
"67",103909,2018,4,26
"68",103927,2018,4,34
"69",103945,2018,4,11
"70",103954,2018,4,20
"71",103963,2018,4,22
"72",104090,2018,4,16
"73",104151,2018,4,19
"74",104160,2018,4,18
"75",104179,2018,4,15
"76",104188,2018,4,10
"77",104346,2018,4,17
"78",104391,2018,4,18
"79",104425,2018,4,16
"80",104434,2018,4,16
"81",104443,2018,4,13
"82",104504,2018,4,30
"83",104568,2018,4,17
"84",104577,2018,4,17
"85",104586,2018,4,17
"86",104708,2018,4,22
"87",104717,2018,4,20
"88",105145,2018,4,15
"89",105154,2018,4,22
"90",105206,2018,4,13
"91",105215,2018,4,32
"92",105297,2018,4,14
"93",105330,2018,4,19
"94",105349,2018,4,15
"95",105367,2018,4,8
"96",105428,2018,4,19
"97",105482,2018,4,15
"98",105525,2018,4,19
"99",105534,2018,4,25
"100",105543,2018,35,25
"101",105589,2018,4,9
"102",105659,2018,4,34
"103",105668,2018,4,31
"104",105677,2018,4,6
"105",105747,2018,4,19
"106",105792,2018,4,19
"107",105899,2018,4,14
"108",106041,2018,4,37
"109",106111,2018,4,16
"110",106148,2018,4,18
"111",106245,2018,5,12
"112",106263,2018,5,10
"113",106306,2018,5,23
"114",106315,2018,5,20
"115",106324,2018,5,4
"116",106342,2018,5,10
"117",106351,2018,5,20
"118",106360,2018,5,13
"119",106397,2018,5,18
"120",106412,2018,5,15
"121",106449,2018,5,17
"122",106458,2018,5,18
"123",106467,2018,5,18
"124",106485,2018,5,14
"125",106494,2018,5,12
"126",106546,2018,5,10
"127",106625,2018,5,15
"128",106704,2018,5,15
"129",106713,2018,5,11
"130",106795,2018,5,16
"131",106810,2018,5,8
"132",106829,2018,5,6
"133",106883,2018,5,9
"134",106892,2018,5,13
"135",106908,2018,5,11
"136",106980,2018,5,19
"137",106999,2018,5,17
"138",107044,2018,5,16
"139",107071,2018,5,14
"140",107080,2018,5,10
"141",107099,2018,5,12
"142",107123,2018,5,8
"143",107141,2018,5,14
"144",107220,2018,5,9
